age,income,score,ratio,city,category,churn
34,,72.5,0.82,Berlin,medium,0
45,52000,88.1,0.61,München,high,0
29,31000,55.3,0.44,Hamburg,low,1
52,75000,,0.91,Berlin,high,0
38,48000,67.8,0.73,Köln,medium,1
61,91000,94.2,0.88,München,high,0
23,22000,41.1,0.31,Hamburg,low,1
47,,79.6,0.69,Berlin,medium,0
33,37000,63.4,,Köln,low,1
55,68000,85.7,0.77,München,high,0
41,55000,71.2,0.58,Berlin,medium,1
27,28000,49.8,0.39,Hamburg,low,1
58,83000,91.3,0.85,München,high,0
36,43000,,0.52,Köln,medium,0
44,61000,76.9,0.64,Berlin,medium,1
31,,58.2,0.47,Hamburg,low,1
49,72000,82.4,0.71,München,high,0
26,25000,44.7,0.35,Köln,low,1
53,79000,89.6,0.83,Berlin,high,0
39,46000,69.3,0.56,Hamburg,medium,1
